MejorEval,PromedioEval,Semilla
10.041052,4382.885757,1728964487
74.963913,2127.425373,1728964488
9.329011,3761.419849,1728964489
11.288770,2489.804875,1728964490
11.549888,1995.403415,1728964492
9.338057,5874.208515,1728964493
8.399796,3879.596401,1728964494
9.461755,3480.838392,1728964495
11.667441,3383.352419,1728964497
8.767726,2867.514038,1728964498
9.658936,6221.254418,1728964499
9.153073,1853.743127,1728964501
9.142021,3019.748597,1728964502
9.552371,2119.162517,1728964503
9.706602,2131.921708,1728964504
9.252476,2428.248238,1728964506
9.196735,1674.040107,1728964507
8.438373,3897.940762,1728964508
18.912100,2589.277213,1728964509
11.649272,3273.415867,1728964511
9.754782,2628.234051,1728964512
9.658371,2135.636307,1728964513
9.593142,4388.289397,1728964514
10.008936,2435.479313,1728964516
12.339545,2242.324400,1728964517
10.406478,5232.363629,1728964518
8.962243,2167.647609,1728964519
4.113524,3137.007095,1728964521
6.677901,2069.358607,1728964522
16.809515,1837.579480,1728964523
